tip_lable,taxa
Campanulids_Polyscias_fruticosa_EDBB,Campanulids_Polyscias_fruticosa_EDBB
Campanulids_Sambucus_canadensis-2_samples_combined_ZJRC,Campanulids_Sambucus_canadensis-2_samples_combined_ZJRC
Campanulids_Scaevola_sp._HUQC,Campanulids_Scaevola_sp._HUQC
Campanulids_Senecio_rowleyanus_BMSE,Campanulids_Senecio_rowleyanus_BMSE
Campanulids_Silybum_marianum_EYKJ,Campanulids_Silybum_marianum_EYKJ
Campanulids_Solidago_canadensis_TEZA,Campanulids_Solidago_canadensis_TEZA
Campanulids_Stylidium_adnatum_FXGI,Campanulids_Stylidium_adnatum_FXGI
Campanulids_Symphoricarpos_sp._CAQZ,Campanulids_Symphoricarpos_sp._CAQZ
Campanulids_Tanacetum_parthenium_DUQG,Campanulids_Tanacetum_parthenium_DUQG
Campanulids_Tragopogon_castellanus_KFZY,Campanulids_Tragopogon_castellanus_KFZY
Campanulids_Tragopogon_dubius_DDRL,Campanulids_Tragopogon_dubius_DDRL
Campanulids_Tragopogon_porrifolius_KGJF,Campanulids_Tragopogon_porrifolius_KGJF
Campanulids_Tragopogon_pratensis_FUPX,Campanulids_Tragopogon_pratensis_FUPX
Campanulids_Valeriana_officianalis_FFFY,Campanulids_Valeriana_officianalis_FFFY
Campanulids_Viburnum_odoratissimum_HLJG,Campanulids_Viburnum_odoratissimum_HLJG
Campanulids_Xanthuium_strumarium_UBLN,Campanulids_Xanthuium_strumarium_UBLN
Canellales_Drimys_granadensis,Canellales_Drimys_granadensis
Caryophyllales_Aerva_lanata-2_samples_combined_PDQH,Caryophyllales_Aerva_lanata-2_samples_combined_PDQH
Caryophyllales_Aerva_persica-2_samples_combined_HDSY,Caryophyllales_Aerva_persica-2_samples_combined_HDSY
Caryophyllales_Allionia_incarnata-2_samples_combined_HMFE,Caryophyllales_Allionia_incarnata-2_samples_combined_HMFE
Caryophyllales_Allionia_spp._EGOS,Caryophyllales_Allionia_spp._EGOS
Caryophyllales_Alternanthera_brasileana-2_samples_combined_ZBPY,Caryophyllales_Alternanthera_brasileana-2_samples_combined_ZBPY
Caryophyllales_Alternanthera_caracasana-2_samples_combined_OHKC,Caryophyllales_Alternanthera_caracasana-2_samples_combined_OHKC
Caryophyllales_Alternanthera_sessilis-2_samples_combined_BWRK,Caryophyllales_Alternanthera_sessilis-2_samples_combined_BWRK
Caryophyllales_Alternanthera_tenella-2_samples_combined_EYRD,Caryophyllales_Alternanthera_tenella-2_samples_combined_EYRD
Caryophyllales_Amaranthus_cruentus_XSSD,Caryophyllales_Amaranthus_cruentus_XSSD
Caryophyllales_Amaranthus_retroflexus_WMLW,Caryophyllales_Amaranthus_retroflexus_WMLW
Caryophyllales_Ancistrocladus_tectorius_HSXO,Caryophyllales_Ancistrocladus_tectorius_HSXO
Caryophyllales_Anredera_baselloides,Caryophyllales_Anredera_baselloides
Caryophyllales_Atriplex_hortensis-2_samples_combined_ONLQ,Caryophyllales_Atriplex_hortensis-2_samples_combined_ONLQ
Caryophyllales_Atriplex_prostrata-2_samples_combined_AAXJ,Caryophyllales_Atriplex_prostrata-2_samples_combined_AAXJ
Caryophyllales_Atriplex_rosea-2_samples_combined_CBJR,Caryophyllales_Atriplex_rosea-2_samples_combined_CBJR
Caryophyllales_Basella_alba_CTYH,Caryophyllales_Basella_alba_CTYH
Caryophyllales_Beta_maritima_FVXD,Caryophyllales_Beta_maritima_FVXD
Caryophyllales_Blossfeldia_liliputana,Caryophyllales_Blossfeldia_liliputana
Caryophyllales_Blutoparon_vermiculare_CUTE,Caryophyllales_Blutoparon_vermiculare_CUTE
Caryophyllales_Boerhavia_cf._spiderwort-2_samples_combined_ZBTA,Caryophyllales_Boerhavia_cf._spiderwort-2_samples_combined_ZBTA
Caryophyllales_Boerhavia_dominnii-2_samples_combined_VJPU,Caryophyllales_Boerhavia_dominnii-2_samples_combined_VJPU
Caryophyllales_Bougainvillea_spectabilis_JAFJ,Caryophyllales_Bougainvillea_spectabilis_JAFJ
Caryophyllales_Chenopodium_quinoa_SMMC,Caryophyllales_Chenopodium_quinoa_SMMC
Caryophyllales_Cypselea_humifusum_GJNX,Caryophyllales_Cypselea_humifusum_GJNX
Caryophyllales_Delosperma_echinatum_BJKT,Caryophyllales_Delosperma_echinatum_BJKT
Caryophyllales_Dianthus_sp._SHEZ,Caryophyllales_Dianthus_sp._SHEZ
Caryophyllales_Didierea_madagascariensis,Caryophyllales_Didierea_madagascariensis
Caryophyllales_Fagopyrum_esculentum,Caryophyllales_Fagopyrum_esculentum
Caryophyllales_Hilleria_latifolia_SFKQ,Caryophyllales_Hilleria_latifolia_SFKQ
Caryophyllales_Kochia_scoparia_WGET,Caryophyllales_Kochia_scoparia_WGET
Caryophyllales_Limonium_spectabile_WOBD,Caryophyllales_Limonium_spectabile_WOBD
Caryophyllales_Lophophora_williamsii_CPKP,Caryophyllales_Lophophora_williamsii_CPKP
Caryophyllales_Maihuenia_poeppigii,Caryophyllales_Maihuenia_poeppigii
Caryophyllales_Microtea_debilis_YNFJ,Caryophyllales_Microtea_debilis_YNFJ
Caryophyllales_Mirabilis_jalapa-2_samples_combined_JGAB,Caryophyllales_Mirabilis_jalapa-2_samples_combined_JGAB
Caryophyllales_Mollugo_cerviana_RNBN,Caryophyllales_Mollugo_cerviana_RNBN
Caryophyllales_Mollugo_nudicaulis-2_samples_combined_SCAO,Caryophyllales_Mollugo_nudicaulis-2_samples_combined_SCAO
Caryophyllales_Mollugo_pentaphylla-2_samples_combined_KJAA,Caryophyllales_Mollugo_pentaphylla-2_samples_combined_KJAA
Caryophyllales_Mollugo_verticillata,Caryophyllales_Mollugo_verticillata
